What price to pay for monetary financing of budget deficits in the euro area,"There is growing acceptance that some form of monetary finance is needed, if not inevitable, in light of the severity of the downturn in the euro area. This column argues that while a monetisation of the deficits induced by the COVID-19 crisis would eventuall…",2020-06-17
A New Banking Agenda For The COVID-19 Era And Beyond,Changes in consumer behavior are putting a spotlight on digitization—and now is the time for banking executives to take notice.,2020-06-17
Syria faces financial ruin as U.S. imposes fresh sanctions,Fresh U.S. sanctions known as the Caesar Syria Civilian Protection Act began Wednesday.,2020-06-17
Syria faces financial ruin as U.S. imposes fresh sanctions,Fresh U.S. sanctions known as the Caesar Syria Civilian Protection Act began Wednesday.,2020-06-17
"KBRA Assigns Issuer Rating of BBB to Cantor Fitzgerald, L.P.","NEW YORK--(BUSINESS WIRE)--Kroll Bond Rating Agency (KBRA) assigns an issuer rating of BBB for New York, NY-based and privately held Cantor Fitzgerald, L.P. (“Cantor” or “the firm”). The Outlook for the rating is Stable. Cantor is a full-service, globally div…",2020-06-17
PRC says clash all India's fault as gruesome details emerge; Beijing outbreak; Xi announces some African debt relief; Fu Ying on US-China,The PRC is blaming the Indians for the deadly border conflict while still not confirming or releasing any details on PLA casualties - Chinese FM urges closer China-India communication to maintain border peace - Xinhua In a telephone conversation with Indian E…,2020-06-17
"Limestone Bancorp, Inc. Holds Annual Meeting of Shareholders","LOUISVILLE, Ky.--(BUSINESS WIRE)---- $LMST--Limestone Bancorp, Inc. (NASDAQ: LMST), parent company of Limestone Bank, announced today that its shareholders elected eight directors, approved a non-binding advisory vote on the compensation of the Company’s exec…",2020-06-17
Crescat Capital: US Stock Market Incredibly Over-valued,"Dear Investors: The US stock market should not be trading anywhere close to the multiples it is today given the enormity of the macro events that have already unfolded this year: Q1 2020 hedge fund letters, conferences and more US and Iran being on the brink …",2020-06-17
Restricted access to market in plan to counter Beijing - Hindustan Times,"<ol><li>Restricted access to market in plan to counter Beijing  Hindustan Times
</li><li>India-China border issue | Traders' body releases list of 500 items to be boycotted from China  Moneycontrol.com
</li><li>India-China standoff: All India traders’ body …",2020-06-17
New Louisiana Law Will Let Doctors Decide When Marijuana Is Right for Their Patients,"While there are still numerous barriers to access in Louisiana's medical marijuana system, a specific list of ""qualifying conditions"" will no longer be one of them.",2020-06-17
RBA considered asking for real estate transaction 'pause' amid property crash fears,"Highly classified documents from inside Australia's central bank contradict a much rosier public view the Reserve Bank of Australia has been displaying about the billions of dollars and millions of jobs tied up in housing, construction and real estate.",2020-06-17
Maruti Suzuki steps up output as rural economy sees revival,"Maruti Suzuki is expected to score a faster recovery, compared with peers, due to its strong financials and vast network.Maruti Suzuki expects to produce more than 100,000 vehicles each month, starting July, sharply higher than the 3,714 vehicles it produced …",2020-06-17
