Ralph Lauren Announces Participation in Evercore ISI Virtual Consumer & Retail Summit,"NEW YORK--(BUSINESS WIRE)--Ralph Lauren Corporation (NYSE: RL) today announced the Company’s participation in the Evercore ISI Virtual Consumer & Retail Summit. The event includes a virtual fireside chat hosted by Omar Saad, equity research analyst at Evercor…",2020-06-17
"Day’s wrap: China tourism, Neiman Marcus, LVMH’s Belmond, Rebag, EVRYTHNG and Arianee","Luxury Daily's live news: Will European luxury collapse without Chinese tourists?; EVRYTHNG, Arianee partner to offer item-level traceability, authentication for luxury and fashion goods; LVMH’s Belmond hotel group runs paean to Italy as travel slowly resumes…",2020-06-17
The 25 most innovative CMOs in the world in 2020,"<ul>
<li>The advertising industry is changing radically.</li>
<li>Chief marketing officers are dealing with fragmented consumer attention and figuring out data-driven marketing while adapting to a landscape altered by the novel coronavirus.</li>
<li>Here's Bu…",2020-06-17
Restricted access to market in plan to counter Beijing - Hindustan Times,"<ol><li>Restricted access to market in plan to counter Beijing  Hindustan Times
</li><li>India-China border issue | Traders' body releases list of 500 items to be boycotted from China  Moneycontrol.com
</li><li>India-China standoff: All India traders’ body …",2020-06-17
Opinion | Consumers will pivot to brands that care as loyalties get tested,Consumers are also becoming frugal as many of them suffer salary cuts and job losses,2020-06-17
The Number One: Here’s exactly what Americans have been splurging on during quarantine,"‘With the increased financial pressure and job insecurity, many consumers will redistribute their spending.’",2020-06-17
Do brands still care about sustainability amid the pandemic?,"As the coronavirus took hold, companies were forced to shift their attention to more immediate needs. Eight experts weigh in on what that means long term.",2020-06-17
"o9 Solutions raises $100 million from KKR, plans to ramp up hiring in India","The company intends to hire India-based talent in emerging technologies like artificial intelligence, machine learning and other key technologies in the digital transformation space as well as expand its customer base in Asia, it said in a statement.",2020-06-17
Buy Under Armor’s Balance Sheet,"Under Armour stock (NYSE: UAA) has lost nearly 60% since the beginning of the year due to the outbreak of COVID-19. The retail industry was already on shaky grounds, with more than 9,000 stores closing down in 2019, and the outbreak has only made things worse…",2020-06-17
Samsung's Thermal Temperature Solution Integrates CRI's Thermal Mirror Technology,"Creative Realities, Inc. (""Creative Realities,"" ""CRI,"" or the ""Company"") (NASDAQ: CREX, CREXW), a leading provider of digital marketing solutions, announced today that Samsung has integrated CRI's Thermal Mirror product into Samsung's new Thermal Temperature …",2020-06-17
