"Inequality: What has happened, why care, and what can be done","Inequality within most developed countries is higher today than it was 30 years ago. Growth in emerging economies has reduced inequality between nations, but the benefits have been unevenly spread within those economies. This column analyses what has happened…",2020-06-17
How to make Joe Biden’s administration the most progressive in history,"On March 17, Jon Favreau, a former Obama administration official well known for co-hosting the popular Pod Save America podcast, tweeted: “Joe Biden will run on the most progressive platform…",2020-06-17
Inslee: Draconian cuts in state service if no help from Congress,"""Draconian"" cuts coming in state services if Congress does not pass another aid package, Washington Gov. Jay  Inslee warns.  He is furloughing state workers, has canceled pay hike for 5,66 employees, and vetoed $450 million in spending last month.",2020-06-17
"Under pressure: Big risks, few answers on reopening schools","Governors promise to put kids back in class in a matter of weeks, but school officials are largely stuck navigating the messy details.",2020-06-17
New Opportunities for Hosted IP Telephony and UCaaS in the CALA Region as Remote Working Increases Amid COVID-19 Lockdowns,"DUBLIN, June 17, 2020 /PRNewswire/ -- The ""Hosted IP Telephony and UCaaS Market in Latin America and the Caribbean, 2020"" report has been added to ResearchAndMarkets.com's offering. The Latin America and Caribbean (CALA) UCaaS market exhibited a strong, doubl…",2020-06-17
World Sickle Cell Day 2020: Novartis Takes Further Steps to Make Sickle Cell Disease a Healthcare Priority in Europe,"BASEL, Switzerland--(BUSINESS WIRE)--STRICTLY FOR EUROPEAN MEDICAL AND PHARMACEUTICAL TRADE MEDIA ONLY Many patients with SCD only live into their 40s and endure unpredictable pain crises which disrupt their lives physically, socially and emotionally.1 It is …",2020-06-17
She Built a Shady Guru’s YouTube Army. Now She’s His Fiercest Critic — But Who Will Believe Her?,"It was May 2015, and the Hotel Surya in Varanasi, India, was hosting “Inner Awakening,” the flagship spiritual training program of Paramahamsa Nithyananda. To his followers, he is a god incarnate, “His Divine Holiness Bhagavan Sri Nithyananda Paramashivam,” t…",2020-06-17
"House, Senate jockey for leverage in police reform debate",Lawmakers are jockeying for leverage on police reform legislation as they face intense pressure to act in the wake of George Floyd's death in Minneapolis.Both House Democrats and Senate Republicans took steps forwa...,2020-06-17
"House, Senate jockeys for leverage in police reform debate",Lawmakers are jockeying for leverage on police reform legislation as they face intense pressure to act in the wake of George Floyd's death in Minneapolis.Both House Democrats and Senate Republicans took steps forwa...,2020-06-17
"Hillicon Valley: Senate Republicans, DOJ target Section 230 | Facial recognition under the spotlight | Zoom launches E2E encrypted beta","Welcome to Hillicon Valley, The Hill's newsletter detailing all you need to know about the tech and cyber news from Capitol Hill to Silicon Valley. If you don't already, be sure to sign up for our newsletter with this ...",2020-06-17
SEC Chairman Jay Clayton says Americans need financial literacy now more than ever,"As market trading soars in spite of coronavirus and stock deals like the planned one from bankrupt Hertz attract notice, SEC Chair Jay Clayton says the need for financial literacy is greater than ever.",2020-06-17
"Centene Recommends Stockholders Reject ""Mini-Tender"" Offer by TRC Capital Investment Corporation","ST. LOUIS, June 17, 2020 /PRNewswire/ -- Centene Corporation (NYSE: CNC) today announced that it has been notified of an unsolicited ""mini-tender"" offer by TRC Capital Investment Corporation (""TRC Capital"") to purchase up to 2,000,000 shares of Centene's comm…",2020-06-17
"Centene Recommends Stockholders Reject ""Mini-Tender"" Offer by TRC Capital Investment Corporation","Centene Corporation (NYSE: CNC) today announced that it has been notified of an unsolicited ""mini-tender"" offer by TRC Capital Investment Corporation (""TRC Capital"") to purchase up to 2,000,000 shares of Centene's common stock at an offer price of $59.00 net …",2020-06-17
"No, Trump can’t defy the laws of gravity",Underestimating Biden is at least as foolish as overrating Trump.,2020-06-17
"New social norms, disruption to routines: Trying times for autistic community as Malaysia enters COVID-19 recovery phase","KUALA LUMPUR: These days, mornings start at 7am for Mohd Adli Yahya, 56, and his son, Luqman Shariff Mohd Adli, 21. 

The two of them then head to the supermarket at 8am to purchase ingredients such as chicken, onions and spices for their ayam percik catering…",2020-06-17
"San Diego schools reopening with in-person, online, hybrid options",San Diego schools are reopening with three different learning options parents can choose for their kids during the coronavirus pandemic.,2020-06-17
"Coronavirus: Government risks 'failing a generation' if schools not reopened soon, doctors warn","'It is our most vulnerable children, such as those from disadvantaged families or those with additional needs, who may suffer most', paediatrician warns",2020-06-17
COVID and Conspiracy Theories: Excerpt from ‘Together Apart’,"It is to get rid of non-productive Chinese in the Chinese community, who are non-productive and in the words of George Bernard Shaw should be eliminated so they don’t have to be fed. Secondly, it i",2020-06-17
Commentary: Welcome to the post-coronavirus United States of despair,"Those entering the US labour market in 2020 will have a lower earnings path throughout their working lives, say two observers.",2020-06-17
EWA: A Contentious Aussie-China Relationship Will Be A Headwind,"EWA has been under-performing the S&P 500, and Australia's benchmark index has also been lagging its regional peers. The fund's June dividend saw a sharp year-o",2020-06-17
3 Growth Tech Stocks to Buy Now Despite Coronavirus Reopening Nerves,Let's dive into three growth-focused tech stocks that are poised to expand during the coronavirus economic downturn and well after...,2020-06-17
"JANET STREET-PORTER: Exhausted, bumbling Boris's winging it is a disaster for Britain","JANET STREET-PORTER: A well mannered polite young footballer has shamed a leader old enough to be his dad. And right now, I know who I'd rather have running Britain.",2020-06-17
About 150 Businesses Damaged In Unrest To Receive Surprise Relief Checks - CBS Minnesota,"Urban Ventures typically focuses on education and parental support, but with COVID-19 and a Lake Street location, they've shifted to feeding thousands of people through donations.",2020-06-17
It's impossible to know how many Arizona restaurants have positive COVID cases. Here's why,"Metro Phoenix restaurants continue to close due to COVID-19 cases, but unenforced guidelines are working, the Arizona Restaurant Association says.",2020-06-17
Ohio Minority Business Panel focuses on listening to needs of Valley leaders - WKBN.com,"To create a discussion on how to help businesses get back on their feet or even start from scratch, Ohio’s secretary of state met virtually with Valley leaders.",2020-06-17
PRC says clash all India's fault as gruesome details emerge; Beijing outbreak; Xi announces some African debt relief; Fu Ying on US-China,The PRC is blaming the Indians for the deadly border conflict while still not confirming or releasing any details on PLA casualties - Chinese FM urges closer China-India communication to maintain border peace - Xinhua In a telephone conversation with Indian E…,2020-06-17
P.E.I. deficit balloons to $173 million as finance minister blames COVID-19,"CHARLOTTETOWN - The COVID-19 pandemic has blown a hole through the public finances of Prince Edward Island, with the province announcing Wednesday a b...",2020-06-17
"At Cisco Live, CEO Chuck Robbins delivers a strong societal message","For decades, Cisco Systems Inc.’s stated purpose has been to use technology to “Change the way we work, live, learn and play.” Sure, the taglines have changed as Cisco has been known for things like “Empowering the Internet Generation,” welcoming us to the “H…",2020-06-17
"Chipotle Mexican Grill, Inc. (CMG) CEO Brian Niccol Presents at Evercore ISI Virtual Consumer & Retail Summit Conference (Transcript)","Chipotle Mexican Grill, Inc. (NYSE:CMG) Evercore ISI Virtual Consumer & Retail Summit Conference June 17, 2020 12:30 PM ET Company Participants Brian Niccol",2020-06-17
Racial Injustice and the Pandemic Are Inextricably Linked,"“I want to express my discomfort that we, as privileged white people, are discussing racial injustice without African American speakers on this panel. I want us to reckon with that,” said Alison Arieff, research and creative director at SPUR and… Continue rea…",2020-06-17
Slideshow: Overall winners of Sony World Photography Awards 2020,"Winners of Sony World Photography Awards 2020
<table>

<tr>
<td></td>
</tr>


</table>
We've covered quite a few Sony World Photography competitions in the past 5 months. From the Open Competition, to National Award Winners, and recent Finalist and Shortlist…",2020-06-17
News24.com | OPINION | Businesses can make a better world post Covid-19 - and that includes SOEs,"As businesses are called on to assist during the Covid-19 pandemic, SOEs can leverage their existing infrastructure to help, says Ayanda Shezi.",2020-06-17
Guiding Young Businesses to Success - NC State News,NC State Entrepreneurship's experiential programs and funding opportunities help students turn ideas into reality.,2020-06-17
Congress targets COVID cyber fraud,"In addition to loss of life and economic costs, COVID-19 pandemic has also become a cottage industry for cyber-enabled fraud and other schemes. According to FBI Deputy Assistant Director Tonya Ugoretz, the number of daily complaints to their Internet Crime Co…",2020-06-17
FS KKR Capital Corp. II Announces Listing on New York Stock Exchange,"PHILADELPHIA and NEW YORK, June 17, 2020 /PRNewswire/ -- FS KKR Capital Corp. II (FSKR), a leading business development company (BDC) focused on providing customized credit solutions to private middle market U.S. companies, announced today that its shares of …",2020-06-17
FS KKR Capital Corp. II Announces Listing on New York Stock Exchange,"FS KKR Capital Corp. II (FSKR), a leading business development company (BDC) focused on providing customized credit solutions to private middle market U.S. companies, announced today that its shares of common stock commenced trading on the New York Stock Exch…",2020-06-17
"This 90-year-old New York activist fought racist housing practices, was a nurse during the AIDS epidemic, and is now protesting for Black Lives Matter","<ul>
<li>Lifelong New York activist Shatzi Weisberger is refusing to let age, curfew, or nosy neighbors discourage her from fighting for what she believes in.</li>
<li>As a young adult, she fought racist redlining practices that prevented Black people from ho…",2020-06-17
A long way to the top: Australian musicians balance multiple roles to make their careers work,"Australian musicians make it work by balancing music and non-music jobs, self-employment, contracts, and a love for the art.",2020-06-17
"Elder Jeffery R. Holland hospitalized, COVID-19 not a factor","Elder Jeffrey R. Holland of the Quorum of the Twelve Apostles of The Church of Jesus Christ of Latter-day Saints was admitted to the hospital last week following several days of illness, according to a statement released Wednesday.",2020-06-17
"‘India is inadequately industrialised, inadequately skilled… coronavirus leaves no choice for India but to change’","In this E-Xplained event on Zoom, Manish Sabharwal, chairman & co-founder of the staffing and human capital firm Teamlease Services, and Director, RBI Central Board, discusses lockdown, unlockdown and jobs.",2020-06-17
OFN Awards First Round Of Grow With Google Small Business Fund Loans And Google.org Grants To Help Small Businesses Recover Nationwide,"WASHINGTON, June 17, 2020 /PRNewswire/ -- Today, Opportunity Finance Network (OFN) announced the first round of Grow with Google Small Business Fund loans and grants from Google.org. Five community development financial institutions (CDFIs) have received a to…",2020-06-17
OFN Awards First Round Of Grow With Google Small Business Fund Loans And Google.org Grants To Help Small Businesses Recover Nationwide,"OFN Awards First Round Of Grow With Google Small Business Fund Loans And Google.org Grants To Help Small Businesses Recover NationwidePR NewswireWASHINGTON, June 17, 2020Opportunity Finance Network (OFN) announces $15.",2020-06-17
Helping small businesses get access to capital,"Since the start of the COVID-19 pandemic, we have been actively working on ways to support communities and small businesses in the United States and around the world. In March, we announced the $125 million Grow with Google Small Business Fund as one way to o…",2020-06-17
Helping small businesses get access to capital,"Since the start of the COVID-19 pandemic, we have been actively working on ways to support communities and small businesses in the United States and around the world. In March, we announced the $125 million Grow with Google Small Business Fund as one way to o…",2020-06-17
The 25 most innovative CMOs in the world in 2020,"<ul>
<li>The advertising industry is changing radically.</li>
<li>Chief marketing officers are dealing with fragmented consumer attention and figuring out data-driven marketing while adapting to a landscape altered by the novel coronavirus.</li>
<li>Here's Bu…",2020-06-17
Microsoft unveils Azure Machine Learning courses and scholarships on Udacity,A newly unveiled introductory course for machine learning on Azure will be available for free on Udacity. A set of chosen top performers will then get scholarships for a more advanced course. Read more...,2020-06-17
Motion Picture Academy Proceeding With Gold Internship Program Despite COVID -19 Crisis; 74 Students Participating,"Just as they had to make adjustments this week  for their own 2021 Oscar show due to events out of their control, AMPAS is also applying necessary changes, while moving forward, with one of their most important programs. With the impressive support of 19 part…",2020-06-17
"SC’s jobless fund, broadband, summer camps focus of $1.9B COVID-19 spending plan","SC awmakers face limits on how they can spend the money. But a proposal adopted by senators Tuesday includes millions to replenish the state’s unemployment trust fund, expand broadband internet and add five days to the school calendar.",2020-06-17
