"With vow to prevent ‘Retail Racism,’ PCC opens in the Central District","Six years ago, the corner was a gas station and a quick market full of chips, soda, and beer. Wednesday, a new grocery store finally opened at 23rd and Union. In a city consumed by weeks of Black Lives Matter … Continue reading →",2020-06-17
How the Democrats and the GOP both benefit from a rigged system,"The inept response of our leaders in Washington, D.C., to nationwide protests following the police murder of George Floyd can best be depicted with two images. First, there was the…
  Related Stories<ul><li>Here’s why one journalist thinks ‘Trump losing is no…",2020-06-17
I Survived Covid-19. How Can I Give Back?,"By the time my doctor told me via FaceTime that I tested positive for Covid-19, my symptoms were long gone. I was probably not contagious anymore, and I had temporary immunity to the virus. For weeks afterward, the same thought replayed in my mind: I survived…",2020-06-17
"Gov. Pritzker announces $900M in community, business grants - WSIL TV",Governor JB Pritzker has announced a package of state grant programs to support Illinois communities and businesses impacted by the COVID-19 pandemic and recent civil unrest.,2020-06-17
Most dangerous part of the supermarket and why lazy Brit workers caused chaos,The supermarkets coronavirus secrets have been exposed in Keeping Britain Fed - from why eggs are now white to reason breweries have ditched making kegs for hand sanitiser,2020-06-17
Want to support Black-owned businesses? Here's a list - Decaturish.com,Here is a list of some Black-owned businesses located throughout the Decatur and Atlanta area.,2020-06-17
"Why are businesses exiting Khan Market, Delhi’s coveted shopping and restaurant hub?","The rentals at the country’s most expensive commercial space are unsustainable for many as customers become scarce and revenues dry up. In many cases, landlords who took loans to pay huge conversion fees cannot afford to forego rents.",2020-06-17
Amazon and Walmart’s Biggest Indian Rival Finds Out Grocery Is Difficult Business,Reliance Retail's foray into India's online groceries has run into initial hiccups.,2020-06-17
"As coronavirus returns to Beijing, schools shut and flights are halted","Airlines cancelled hundreds of flights. Schools called off classes, forcing students to exchange abrupt farewells. Officials sealed off neighbourhoods, and residents stuck inside complained about limited food deliveries. Medical workers tested tens of thousan…",2020-06-17
"CNBC asked, you nominated: Recognizing the selfless heroes of the coronavirus pandemic","The global pandemic has upended everyday life for millions across the world. But for many their first response is to jump in and help in the fight. Here are the brave, compassionate individuals CNBC readers nominated as the HomeGROWn Heroes of the coronavirus…",2020-06-17
IRS faces the coronavirus,"OZ problems —&nbsp;Coronavirus relief, further out",2020-06-17
"Wednesday CoronaBuzz, June 17, 2020: 39 pointers to new resources, useful stuff, research news, and more.",Wash your hands and stay at home as much as you can. Please be careful. I love you. NEW RESOURCES – MEDICAL/HEALTH Columbia University: COVID-19 Will Affect Food and Financial Security of Man…,2020-06-17
Everbridge BrandVoice: Technology Fuels Pandemic Response And Leads The Way To Recovery,"Videoconferencing, high-speed internet access, real-time collaborative software, mobile devices, and cloud computing have enabled many organizations to pivot to distributed work environments with a speed that has surprised even them, noted several speakers at…",2020-06-17
"The Impact of COVID-19 on Food & Beverage e-Commerce Market Growth, 2020-2030","DUBLIN, June 17, 2020 /PRNewswire/ -- The ""Food and Beverage E-commerce Global Market Report 2020-30: COVID-19 Implications and Growth"" report has been added to ResearchAndMarkets.com's offering. The global food and beverage e-commerce market is expected to g…",2020-06-17
"The Impact of COVID-19 on Food & Beverage e-Commerce Market Growth, 2020-2030","The ""Food and Beverage E-commerce Global Market Report 2020-30: COVID-19 Implications and Growth"" report has been added to ResearchAndMarkets.com's offering.",2020-06-17
Is It Safe to Shoot During Coronavirus? One TV Movie Aimed to Find Out (EXCLUSIVE),"When Jonathan Bennett — of “Mean Girls” and “Cake Wars” fame — got a call about starring in a TV movie called “Harvest of the Heart,” he was shopping. “I remember the moment the call came in, because I was at Costco buying groceries in safety goggles, an N95 …",2020-06-17
