How to make Joe Biden’s administration the most progressive in history,"On March 17, Jon Favreau, a former Obama administration official well known for co-hosting the popular Pod Save America podcast, tweeted: “Joe Biden will run on the most progressive platform…",2020-06-17
Santen and Orbis International Join Forces to Expand Access to Training for Eye Care Professionals through Telemedicine Platform,"OSAKA, Japan, June 17, 2020 /PRNewswire/ -- Santen Pharmaceutical Co., Ltd. (hereinafter, Santen) and Orbis International today announced a partnership to develop a suite of digital training tools that will continue to help eye care professionals around the w…",2020-06-17
Santen and Orbis International Join Forces to Expand Access to Training for Eye Care Professionals through Telemedicine Platform,"Santen Pharmaceutical Co., Ltd. (hereinafter, Santen) and Orbis International today announced a partnership to develop a suite of digital training tools that will continue to help eye care professionals around the world build their skills. Through the three-y…",2020-06-17
The COVID-19 crisis continues: How we got here and how we move on,"This post first appeared as an issue of the a16z Bio Newsletter. Subscribe to stay on top of the latest trends in bio and healthcare.
IN THIS EDITION: 
<ul>
<li>U.S. healthcare versus COVID-19: How bad policy leads to bad market </li>
</ul>
…
The post The COV…",2020-06-17
World Sickle Cell Day 2020: Novartis Takes Further Steps to Make Sickle Cell Disease a Healthcare Priority in Europe,"BASEL, Switzerland--(BUSINESS WIRE)--STRICTLY FOR EUROPEAN MEDICAL AND PHARMACEUTICAL TRADE MEDIA ONLY Many patients with SCD only live into their 40s and endure unpredictable pain crises which disrupt their lives physically, socially and emotionally.1 It is …",2020-06-17
Commentary: Welcome to the post-coronavirus United States of despair,"Those entering the US labour market in 2020 will have a lower earnings path throughout their working lives, say two observers.",2020-06-17
Deep Dive: Here are the best and worst stocks during the first 100 days of the coronavirus pandemic,The information-technology and consumer-discretionary sectors were the top performers.,2020-06-17
CORRECTING and REPLACING Level Ex® Releases Video Game COVID-19 Levels to Prepare Healthcare Providers,CHICAGO--(BUSINESS WIRE)--Level Ex has launched COVID-19 levels within its Airway Ex and Pulm Ex mobile games.,2020-06-17
AmeriHealth Caritas Urges Americans to Reduce Coronavirus Risk by Quitting Smoking and Vaping,"PHILADELPHIA--(BUSINESS WIRE)-- #AmeriHealthCaritas--AmeriHealth Caritas, a national leader in Medicaid managed care and other health care solutions for those most in need, cautions that electronic cigarette (e-cigarette) use can lead to poorer health outcome…",2020-06-17
Merck Animal Health Completes Acquisition of Quantified Ag®,"MADISON, N.J.--(BUSINESS WIRE)---- $MRK #AnimalHealth--Merck Animal Health Completes Acquisition of Quantified Ag®",2020-06-17
BAUSCH + LOMB ULTRA® Silicone Hydrogel Contact Lenses Receive Approval In China,"Bausch + Lomb, a leading global eye health business of Bausch Health Companies Inc. (NYSE/TSX: BHC) (""Bausch Health""), today announced that BAUSCH + LOMB ULTRA® monthly silicone hydrogel contact lenses have received approval from the National Medical Products…",2020-06-17
"More lockdown restrictions eased, national plan for gender-based violence: Read President Ramahosa's full speech",President Cyril Ramaphosa's announcement of the easing of even more lockdown restrictions was accompanied by condemnation for the urge in gender-based violence in recent weeks. Read the full speech here,2020-06-17
2:00PM Water Cooler 6/17/2020,~ Today's Water Cooler ~,2020-06-17
COVID-19 Impact and Recovery Analysis - Disposable Gloves Market in Europe 2020-2024 | Evolving Opportunities with Ansell Ltd. and B. Braun Melsungen AG | Technavio,LONDON--(BUSINESS WIRE)-- #DisposableGlovesMarketinEurope--The Disposable Gloves Market in Europe will grow by $ 780.35 mn during 2020-2024,2020-06-17
Dexamethasone: UK government condemned for 'morally questionable' export restriction on life-saving coronavirus drug,Health campaigners warn against dangers of countries turning inwards during time of unprecedented crisis and hoarding essential medicine,2020-06-17
BioMarin Provides Additional Data from Recent 4 Year Update of Ongoing Phase 1/2 Study of Valoctocogene Roxaparvovec Gene Therapy for Severe Hemophilia A in Late-Breaking Oral Presentation at World Federation of Hemophilia Virtual Summit,"BioMarin Pharmaceutical Inc. (NASDAQ: BMRN) announced today additional data from its previously reported four-year update of an open-label Phase 1/2 study of valoctocogene roxaparvovec, an investigational gene therapy treatment for severe hemophilia A. The re…",2020-06-17
BioMarin Provides Additional Data from Recent 4 Year Update of Ongoing Phase 1/2 Study of Valoctocogene Roxaparvovec Gene Therapy for Severe Hemophilia A in Late-Breaking Oral Presentation at World Federation of Hemophilia Virtual Summit,"SAN RAFAEL, Calif., June 17, 2020 /PRNewswire/ -- BioMarin Pharmaceutical Inc. (NASDAQ: BMRN) announced today additional data from its previously reported four-year update of an open-label Phase 1/2 study of valoctocogene roxaparvovec, an investigational gene…",2020-06-17
How ‘vaccine nationalism’ could block vulnerable populations’ access to COVID-19 vaccines,Hundreds of COVID-19 vaccine candidates are currently being developed. The way emerging vaccines will be distributed to those who need them is not yet clear. The United States has now twice indicated that it would like to secure priority access to doses of CO…,2020-06-17
Race For Vaccine Intensifies As COVID-19 Second Wave of Outbreaks Threatens,"PALM BEACH, Florida, June 17, 2020 /PRNewswire/ -- The race for a vaccine to end the current global healthcare crisis has ramped-up even more with a second wave of outbreaks starting to appear. The White House's Office of Science and Technology Policy said in…",2020-06-17
Why tech didn’t save us from covid-19,"Technology has failed the US and much of the rest of the world in its most important role: keeping us alive and healthy. As I write this, more than 380,000 are dead, the global economy is in ruins, and the covid-19 pandemic is still raging. In an age of artif…",2020-06-17
Orexo and Lyfebulb Announce Call for Digital Solutions to Treat Substance Use Disorder,"UPPSALA, Sweden, June 17, 2020 /PRNewswire/ -- Orexo, a Swedish pharmaceutical company focused on improved pharmaceuticals and digital therapies, and Lyfebulb, a patient empowerment platform, announced that the Lyfebulb-Orexo Innovation Challenge: Digital The…",2020-06-17
Orexo and Lyfebulb Announce Call for Digital Solutions to Treat Substance Use Disorder,"Orexo, a Swedish pharmaceutical company focused on improved pharmaceuticals and digital therapies, and Lyfebulb, a patient empowerment platform, announced that the Lyfebulb-Orexo Innovation Challenge: Digital Therapeutics for Substance Use Disorder is now acc…",2020-06-17
How 'vaccine nationalism' could block vulnerable populations' access to COVID-19 vaccines,Hundreds of COVID-19 vaccine candidates are currently being developed. The way emerging vaccines will be distributed to those who need them is not yet clear. The United States has now twice indicated that it would like to secure priority access to doses of CO…,2020-06-17
How 'vaccine nationalism' could block vulnerable populations' access to COVID-19 vaccines,Should the US be able to pre-order vaccines for its citizens when other populations around the globe are at greater risk?,2020-06-17
Trump pushing officials to speed up already-ambitious coronavirus vaccine timeline,,2020-06-17
Help secure the top UK entry point for cyberfraud,Imitating the NHS now is the entry point of choice for organised criminals seeking to infiltrate corporate systems via their home-based workers.,2020-06-17
Rwanda: How GGGI Is Connecting Rwanda-Italy Investors Exploring Green Investment Opportunities,"[New Times] The Global Green Growth Institute (GGGI) has partnered with Rwanda Environmental Management Authority (REMA) and Italian Ministry for Environment, Land and Sea (IMELS) in connecting entrepreneurs, investors and institutions between Rwanda and Ital…",2020-06-17
How to make Joe Biden's administration the most progressive in history,Biden has moved left in important ways. Bernie's voters should support him — and push for a progressive cabinet,2020-06-17
"Antidiabetics Market Demand to Hit USD 130B by 2026: Global Market Insights, Inc.","Global Market Insights, Inc. has recently added a new report on the antidiabetics market, which estimates the market valuation for antidiabetics will cross US $130 billion by 2026. The rising prevalence of obesity and growing geriatric population among severa…",2020-06-17
The Therapist Is In—and It's a Chatbot App,"Companies rush to offer digital help for psychiatric disorders, after the FDA relaxes its rules amid the Covid-19 pandemic.",2020-06-17
"FDA Approves Second Biomarker-Based Indication for Merck’s KEYTRUDA® (pembrolizumab), Regardless of Tumor Type","KENILWORTH, N.J.--(BUSINESS WIRE)---- $MRK #MRK--FDA Approves Second Biomarker-Based Indication for Merck’s KEYTRUDA (pembrolizumab), Regardless of Tumor Type",2020-06-17
Tempus: Health start-up backed by Groupon co-founder joins the fight against Covid-19,"Groupon co-founder Eric Lefkofsky discovered the health-care system's flawed approach to data when his wife was diagnosed with cancer. Tempus is now on the front lines of the coronavirus fight. It made the CNBC 2020 Disruptor 50 list, released Tuesday.",2020-06-17
"As the US and China brawl, global businesses find themselves on the front lines","As US-China relations crater and the Trump administration rolls out a blizzard of anti-China measures, global companies are struggling to navigate and make contingency plans for economic and political risks until recently seen as long shots.""Proposals are no …",2020-06-17
Coronavirus LIVE: Prime Minister Narendra Modi to address the nation on June 21 - Oneindia,"Union Ministry of Health and Family Welfare on Wednesday said that India reported 2,003 deaths and 10,974 new COVID-19 cases in the last 24 hours.",2020-06-17
