Tenancy evictions can begin again next week,"From next week, notice can be given to tenants as normal.",6/17/2020
La Haus is bringing US tech services to Latin America's real estate market,"The alchemy for a successful startup can be hard to parse. Sometimes, it’s who you know. Sometimes it’s where you go to school. And sometimes it’s what you do. In the case of La Haus, a startup that wants to bring US tech-enabled real estate services to the L…",6/17/2020
La Haus is bringing US tech services to Latin America's real estate market,"In the case of La Haus, a startup that wants to bring US tech-enabled real estate services to the Latin American real estate market, it's all three. The company was founded by Jerónimo Uribe and Rodrigo Sánchez Ríos, both graduates of Stanford University who …",6/17/2020
She Built a Shady Guru’s YouTube Army. Now She’s His Fiercest Critic — But Who Will Believe Her?,"It was May 2015, and the Hotel Surya in Varanasi, India, was hosting “Inner Awakening,” the flagship spiritual training program of Paramahamsa Nithyananda. To his followers, he is a god incarnate, “His Divine Holiness Bhagavan Sri Nithyananda Paramashivam,” t…",6/17/2020
3 Undervalued Real Estate Stocks to Consider as Mortgage Applications Spike,Low interest rates mean now is the best time to lock in a favorable mortgage Continue reading...,6/17/2020
Brooklyn Bound: Companies Eye Brooklyn Offices Post-Coronavirus,"The coronavirus pandemic could turn into a much-needed shot in the arm for Brooklyn’s sluggish office market. While the borough has been staring down the barrel of millions of square feet of new office space coming online, it has failed to attract many trophy…",6/17/2020
VEREIT Provides Company and COVID-19 Update,"VEREIT, Inc. (NYSE: VER) (""VEREIT"" or the ""Company"") today announced updated information on its real estate portfolio and balance sheet in response to the ongoing coronavirus (COVID-19) pandemic.",6/17/2020
VEREIT Provides Company and COVID-19 Update,"PHOENIX, June 17, 2020 /PRNewswire/ -- VEREIT, Inc. (NYSE: VER) (""VEREIT"" or the ""Company"") today announced updated information on its real estate portfolio and balance sheet in response to the ongoing coronavirus (COVID-19) pandemic. Real Estate Portfolio Up…",6/17/2020
"KBRA Assigns Issuer Rating of BBB to Cantor Fitzgerald, L.P.","NEW YORK--(BUSINESS WIRE)--Kroll Bond Rating Agency (KBRA) assigns an issuer rating of BBB for New York, NY-based and privately held Cantor Fitzgerald, L.P. (“Cantor” or “the firm”). The Outlook for the rating is Stable. Cantor is a full-service, globally div…",6/17/2020
Deep Dive: Here are the best and worst stocks during the first 100 days of the coronavirus pandemic,The information-technology and consumer-discretionary sectors were the top performers.,6/17/2020
"Is Amazon a $5,000 Stock?",One analyst says the company has a secret weapon that could drive its market cap to $2.5 trillion.,6/17/2020
