Future of Ford’s Oakville assembly plant in danger,"An Automotive forecaster’s report says the company will cancel its next generation Edge crossover model when production ends in 2023. The move could lead to the closure of the Oakville Assembly Complex that employs more than 4,000 workers.",2020-06-16T20:39:09Z
Almost V-Shaped: The Square Root Economic Recovery,"Retail sales data show a sharp rebound, but just a partial rebound. The figures support my April economic forecast: “The most likely path is a V that turns level before reaching it previous peak, somewhat resembling a square root symbol.”",2020-06-16T19:41:35Z
5 US Clean Energy Projects That Barrelled Through the Coronavirus Lockdowns,"Fears that the coronavirus outbreak would sideswipe the U.S. clean energy market appear to be have been overblown so far, and the proof is in the projects.

2020 is the most socially and economically disruptive year for Americans in a generation. It’s also li…",2020-06-16T17:33:00Z
"Black & Veatch: Climate Change, Global Pandemic Highlight Water Industry’s Need for Greater Resilience Through Planning, Digital Water Programs","OVERLAND PARK, Kan.--(BUSINESS WIRE)--Facing a diverse array of headwinds to their operations, U.S. water industry leaders are looking to accelerate innovation in strategy, operations and capital planning by harnessing digital assets and data analytics, Black…",2020-06-16T17:07:13Z
If you want to invest in the digital economy then Aveva shares are just the ticket - Motley Fool UK,"If you believe that post-Covid, the digital economy will be the area to invest in, then I think Aveva shares are just right.",2020-06-16T16:00:05Z
85 Percent of Independent Restaurants Could Close Without Direct Aid,"Dan Wu, an immigrant chef and owner of Atomic Ramen in Lexington, Kentucky, operated his restaurant for two and a half years before COVID hit. The locations closure turned from temporary to indefinite as the government instituted stay-at-home orders and dini…",2020-06-16T15:01:53Z
"Demand for Power & Distribution Transformers 2019-2025 and Utility Analysis of Distribution Transformers; Listing 7,188 DSOs by Country, Numbers of Customers and Transformers","The ""Bundle Report: Transformers Report Ed 8 and Utility Analysis 2020"" report has been added to ResearchAndMarkets.com's offering.",2020-06-16T15:00:00Z
Industrial Production Increased 1.4 Percent in May,"From the Fed: Industrial Production and Capacity Utilization   Total industrial production increased 1.4 percent in May , as many factories ...",2020-06-16T13:23:00Z
"Utilities Must Further Adapt, Diversify Investments to Edge out Competition and Meet Changing Energy Needs",WASHINGTON--(BUSINESS WIRE)--Guidehouse and Public Utilities Fortnightly release fifth annual State & Future of Power report,2020-06-16T13:10:59Z
"Mutual funds picked these stocks in May, do you own any?",Fund managers are finding telecom a âgood investment spaceâ given the change in dynamics,2020-06-16T12:34:18Z
Innovation at the Vertical Edge: New Business Models for a Digital Economy,All industries feature well established business models — that’s just a more sophisticated way to say they have “proven ways to make money.” These business...,2020-06-16T11:30:39Z
Thermal plants to operate below 53% capacity in FY21 as power demand dips,"The Covid-19 induced lockdown, which came into effect from March 25, brought many business activities across the country to a near standstill",2020-06-16T11:27:00Z
Energy Vault Named Technology Pioneer by World Economic Forum as It Offers an Economic Way to Store Clean Energy and Deliver Dispatchable Power,"LUGANO, Switzerland--(BUSINESS WIRE)-- #Davos--Energy Vault today announced its selection as one of the World Economic Forum’s Technology Pioneers of 2020.",2020-06-16T07:37:23Z
Middle East Cybersecurity Market Worth $29.9 Billion by 2025 - Exclusive Report by MarketsandMarkets™,"CHICAGO, June 16, 2020 /PRNewswire/ -- According to the new market research report ""Middle East Cybersecurity Market by Component (Solutions and Services), Security Type (Network Security, Endpoint Security, Cloud Security, ICS Security, and Others), Deployme…",2020-06-16T07:05:00Z
Middle East Cybersecurity Market Worth $29.9 Billion by 2025 - Exclusive Report by MarketsandMarkets™,"According to the new market research report ""Middle East Cybersecurity Market by Component (Solutions and Services), Security Type (Network Security, Endpoint Security, Cloud Security, ICS Security, and Others), Deployment Mode, Organization Size, Vertical, a…",2020-06-16T07:00:00Z
Innowatts Named Technology Pioneer by World Economic Forum,"HOUSTON, June 16, 2020 /PRNewswire/ -- Innowatts, a data analytics company that helps utilities and energy retailers from around the world optimize their businesses with energy usage data and AI-enabled predictive analytics, today announced its selection by t…",2020-06-16T07:00:00Z
"Contra bets? ICICI Pru AMC picked power, bank & realty stocks in May","Overall, ICICI Prudential AMC increased stakes in as many as 206 companies.",2020-06-16T05:47:04Z
Migrant workers get $37.6m temporary support package but it comes with a warning,Migrant workers stuck in New Zealand and suffering serious hardship because of the Covid-19 crisis will be able to access a $37.6 million support package.The three month time-limited assistance programme will provide essentials...,2020-06-16T04:50:17Z
Transcript Blog- The Global Impact of COVID-19 on the Telecommunications Industry,"Telecommunications is so essential in a time when we cannot connect in person. On this episode of Industry Insights by SAP, Josephine Monberg interviews Michaella Munyuzangabo, Global Solution Manager of Telecommunications at SAP. Michaella discusses",2020-06-16T03:19:48Z
Carbon Capture Will Require Large Public Subsidies to Support Coal and Gas Power,"Read time: 9 minsIn April, the Center for Global Energy Policy (CGEP) at Columbia University released a report concluding that, without major new subsidies from the American public, technologies for capturing heat-trapping carbon dioxide from coal and natural…",2020-06-16T01:05:13Z
SAP SE (SAP) CEO Christian Klein Presents at Sapphire Now Financial Analyst Conference (Transcript),"SAP SE (NYSE:SAP) Sapphire Now Financial Analyst Conference June 15, 2020 12:30 PM ET Company Participants Stefan Gruber - Head, Investor Relations Christian Kl",2020-06-15T23:20:08Z
Is ESG Ready To Take Center Stage In Portfolios?,Covid-19 and social unrest are accelerating the stampede of investors into so-called sustainable investing. But obstacles stand in their way.,2020-06-15T21:16:57Z
"Robinhood investors’ top picks are blowing away hedge funds, market",Enjoying 16 percentage point advantage over funds and 25 over S&P 500,2020-06-15T21:14:45Z
Kevin Wolff: Time to ramp up tech infrastructure in Bexar County - San Antonio Express-News,"<p>While this horrific pandemic has taught us many things, it has certainly brought a new spotlight to the desperate need for more — and better — technological infrastructure.</p>",2020-06-15T18:00:00Z
A pale green bond for the energy transition,"As green bond issuance soars, investor attention has turned to financing “brown” projects to help carbon-intensive companies improve environmental credentials and pursue more sustainable business models. A rigorous vetting process and dialogue between investo…",2020-06-15T16:05:43Z
Why Is Southeast Asia a 'Hotbed' for Cybercrime?,"Southeast Asia has become a hotbed for cybercrime activities, says Anthony Bargar, former deputy CISO of the U.S. Department of Defense, who says enterprises in the region need to take a collaborative defense approach to respond to this new threat environment…",2020-06-15T15:38:00Z
Equity CEFs: Oh Hear Me All Robin Hood Investors!,"Forget ye Hertz!  Forget ye Chesapeake Energy!  Lest they all go bankrupt!  But let me tell you the story of your greatest opportunity, equity CEFs! You see, be",2020-06-15T14:12:02Z
The Energy Bulletin Weekly: 15 June 2020,"Oil futures fell by some 8 percent last Thursday, before closing out a quiet Friday at $36.26 in New York and $38.73 in London. Over the previous six weeks, prices have been climbing due to the OPEC+ and US shale production cuts, and the easing of pandemic lo…",2020-06-15T13:10:42Z
11 Defensive Dividend Blue - Chips To Help You Sleep Well At Night During The Next Market Decline,"Market volatility is back, exactly as I've been warning readers about for weeks now. The reality of our 24 to 30 month pandemic induced economic crisis means th",2020-06-15T12:40:29Z
HPI: You Need A Monthly-Pay Preferred Income Stream,What's better than being paid quarterly? Being paid monthly! We have emphasized preferred equity as a source of more stable dividends. This CEF provides exposur,2020-06-15T12:35:00Z
AVANGRID Appoints Dennis V. Arriola Chief Executive Officer,"ORANGE, Conn.--(BUSINESS WIRE)---- $AGR--The AVANGRID (NYSE: AGR) Board of Directors announced the appointment of Dennis V. Arriola as Chief Executive Officer effective July 20, 2020.",2020-06-15T12:23:47Z
"Internet of Things (IoT) Market to Hit $1,102.6 Billion by 2026; Advancements in Artificial Intelligence-based Technologies to Feed Market Growth: Fortune Business Insights™ - GlobeNewswire","<ol><li>Internet of Things (IoT) Market to Hit $1,102.6 Billion by 2026; Advancements in Artificial Intelligence-based Technologies to Feed Market Growth: Fortune Business Insights™  GlobeNewswire
</li><li>Internet of Things IoT Managed Services Market to Wi…",2020-06-15T11:46:40Z
New project to assess community responses to COVID-19 in Gaza refugee camps,(University of Bath) A rapid research project will launch this week -- during Refugee Week 2020 -- to assess some of the immediate impacts of COVID-19 for refugee communities living in camps in the Gaza Strip.,2020-06-15T04:00:00Z
"IoT IAM Market Growth Set to Surge Significantly during 2027 | Amazon Web Services, CA Technologies, DigiCert - openPR",IoT IAM Market Forecast to 2027 COVID 19 Impact and Global Analysis by Component Solution Services Security Type Network Security Endpoint Security Application Security Cloud Security Others Deployment Type On Premise Cloud Based Industry BFSI Automotive Heal…,2020-06-15T03:40:52Z
Spiraling Eviction Crisis Threatens More Renters With Homelessness,The patchwork of legal protections for renters that emerged at the start of the pandemic is unlikely to stem the crisis.,2020-06-14T15:36:44Z
"The economic impact of a pandemic: ‘Without COVID-19, we would be doing ok’","SINGAPORE: At the start of the year, Toh Thiam Wei, whose company runs walking tours for tourists, was finalising new itineraries that would make up a key part of his business expansion plans in 2020.

Edgar Lim’s events space at the Esplanade mall was alread…",2020-06-13T22:20:38Z
Weekly Commentary: Extraordinary Q1 2020 Z.1 Flow Of Funds,The Fed slashed rates at an emergency meeting on March 3rd - and then began aggressively expanding its holdings/balance sheet (creating market liquidity). Even,2020-06-13T14:47:36Z
"UTF: A Powerful Income CEF Yields 7.8%, Pays Monthly",Cohen & Steers Infrastructure Fund continues to be a high-yield defensive pick at an attractive price. UTF is a CEF with a yield of 7.8%. The CEF invests in the,2020-06-13T13:45:00Z
A rolling budget?,"The budget clearly makes an effort to keep the IMF programme afloat by setting a high revenue target
The post A rolling budget? appeared first on The Express Tribune.",2020-06-13T05:48:32Z
Hoping against hope,"Thousands of small businesses are on the brink, with the government rescue package falling short of their expectations.",2020-06-13T04:23:39Z
NEC Pulls the Plug on Storage Integration Business,"Grid battery integrator NEC Energy Solutions is winding down, Bloomberg reported Thursday.

The company manufactured and integrated hundreds of megawatts of battery systems for projects around the world. But parent company NEC Corp. of Japan told Bloomberg th…",2020-06-12T22:30:00Z
Stocks bounce but close the week with losses,"Stocks closed higher in a choppy session where the Dow Jones index swung nearly 900 points from gains to losses and back to gains again: Dow +1.9%, S&P 500 +",2020-06-12T20:35:12Z
The Top Stocks To Buy On A Crash,Growing volatility creates opportunities in the best stocks and sectors. Healthcare and technology remain top sectors to buy. Here are the best stocks to buy in,2020-06-12T18:36:19Z
Internet Of Things Market Investigation Highlights Growth Trends in the Coming Years COVID-19 - Cole of Duty,Internet Of Things Market Investigation Highlights Growth Trends in the Coming Years COVID-19  Cole of Duty,2020-06-12T17:35:58Z
The Covid-19 Economic Slump Is Closing Down Coal Plants,"This year, coal usage has dropped in the US, and renewables now generate more electricity. To some experts, the financial crisis is a clean energy opportunity.",2020-06-12T17:03:43Z
Picking Through The Carnage,"The S&P 500 took its biggest hit since March. The worst performers were travel, energy and financial stocks. Stay at home stocks held the price against market m",2020-06-12T16:51:06Z
Businesses will look to mobile operators to lead enterprise 5G projects,"Video, remote machinery and AR/VR will drive 5G adoption across business and public sector, report suggests.",2020-06-12T15:42:06Z
Paychex Introduces Paycheck Protection Program Loan Forgiveness Estimator and Reporting,"ROCHESTER, N.Y., June 12, 2020 /PRNewswire/ -- On June 5, 2020, the Paycheck Protection Program (PPP) Flexibility Act was signed into law, relaxing the original requirements for how businesses could use PPP loans and continue to qualify for forgiveness. Withi…",2020-06-12T14:25:00Z
Paychex Introduces Paycheck Protection Program Loan Forgiveness Estimator and Reporting,"On June 5, 2020, the Paycheck Protection Program (PPP) Flexibility Act was signed into law, relaxing the original requirements for how businesses could use PPP loans and continue to qualify for forgiveness. Within days of the bill passing, Paychex, Inc., a le…",2020-06-12T14:25:00Z
"Asia-Pacific Virtual Data Rooms Market (2019 to 2028) - Featuring Brainloop, Caplinked & Ethosdata Among Others - ResearchAndMarkets.com","DUBLIN--(BUSINESS WIRE)--The ""Asia-Pacific Virtual Data Rooms Market 2019-2028"" report has been added to ResearchAndMarkets.com's offering. According to this report the virtual data rooms market in Asia-Pacific will progress at a CAGR 15.34% in the projected …",2020-06-12T14:11:08Z
Biden plan would pay for workers’ Covid-19 tests,"Unemployment claims keep falling, but a long recovery awaits — Federal court declines to make OSHA issue mandatory safety rules",2020-06-12T14:00:40Z
Caution abounds as Alberta eases huge raft of COVID-19 restrictions,Restaurateur Leslie Echino laughs at the notion that even as Alberta lifts many more COVID-19 restrictions her business could return to anywhere close to normal.,2020-06-12T13:15:00Z
"Global Internet of Things (IoT) Integration Market Size, Covid-19 Impact Analysis, key Insights Based on Product Type, End-use and Regional Demand Till 2025 - Surfacing Magazine","Global Internet of Things (IoT) Integration Market 2020 by Company, Regions, Type and Application, Forecast to 2025 features detailed insights and deep research on some of the major and unique aspects",2020-06-12T12:28:15Z
"Global Internet of Things (IoT) Middleware Market Size, Covid-19 Impact Analysis, key Insights Based on Product Type, End-use and Regional Demand Till 2025 - Cole of Duty","Global Internet of Things (IoT) Middleware Market Size, Covid-19 Impact Analysis, key Insights Based on Product Type, End-use and Regional Demand Till 2025  Cole of Duty",2020-06-12T12:18:45Z
"Global Internet of Things (IoT) Operating Systems Market Size, Covid-19 Impact Analysis, key Insights Based on Product Type, End-use and Regional Demand Till 2025 - Cole of Duty","Global Internet of Things (IoT) Operating Systems Market Size, Covid-19 Impact Analysis, key Insights Based on Product Type, End-use and Regional Demand Till 2025  Cole of Duty",2020-06-12T12:18:45Z
"Global Internet of Things (IoT) Testing Market Size, Covid-19 Impact Analysis, key Insights Based on Product Type, End-use and Regional Demand Till 2025 - Cole of Duty","Global Internet of Things (IoT) Testing Market Size, Covid-19 Impact Analysis, key Insights Based on Product Type, End-use and Regional Demand Till 2025  Cole of Duty",2020-06-12T12:18:45Z
