Date,Title,Description,Corpus
2020-05-18,-0.9914,0.9977,0.9976
2020-05-19,-0.9397,0.9979,0.9979
2020-05-20,0.467,0.9992,0.9992
2020-05-21,0.9209,0.9992,0.975
2020-05-22,0.9627,0.9981,0.9985
2020-05-23,0.3736,-0.9906,-0.9912
2020-05-24,-0.9519,0.975,0.8843
2020-05-25,0.987,0.9959,0.999
2020-05-26,-0.4863,0.9971,0.9987
2020-05-27,0.971,0.9996,0.9998
2020-05-28,0.999,0.6661,0.9992
2020-05-29,-0.7333,0.9984,0.9982
2020-05-30,0.8437,-0.9228,-0.8493
2020-05-31,0.8738,0.85,0.9865
2020-06-01,-0.9893,0.9986,0.9981
2020-06-02,0.9778,0.9966,0.9983
2020-06-03,0.9971,0.9988,0.9996
2020-06-04,0.9988,0.9992,0.9996
2020-06-05,0.9869,0.9972,0.9988
2020-06-06,0.9537,0.9969,0.9989
2020-06-07,-0.9002,-0.9895,-0.9956
2020-06-08,0.9468,0.9965,0.9988
2020-06-09,0.9926,0.9986,0.9995
2020-06-10,0.9919,0.9996,0.9997
2020-06-11,0.9972,0.9971,0.9987
2020-06-12,0.4898,0.9987,0.9986
2020-06-13,-0.8406,-0.9808,-0.9848
2020-06-14,-0.4019,0.9855,0.9843
2020-06-15,0.9966,0.9962,0.9996
2020-06-16,0.7574,0.9958,0.9963
2020-06-17,-0.5206,-0.5808,-0.7081
