Date,Title,Description,Corpus
2020-05-18,-0.9374,0.9937,0.9891
2020-05-19,0.8241,-0.8766,-0.929
2020-05-20,-0.9736,0.9701,0.9243
2020-05-21,-0.996,-0.9636,-0.9941
2020-05-22,0.9608,0.9756,0.9981
2020-05-23,-0.4861,-0.7812,-0.6998
2020-05-24,0.1301,-0.9947,-0.993
2020-05-25,-0.6876,-0.9535,-0.7967
2020-05-26,0.9928,0.987,0.9985
2020-05-27,0.826,-0.9513,-0.9702
2020-05-28,0.9584,-0.6864,0.876
2020-05-29,0.9498,0.3866,0.895
2020-05-30,-0.6249,0.0197,-0.3556
2020-05-31,0.5719,-0.9636,-0.9457
2020-06-01,0.9641,0.983,0.9905
2020-06-02,0.9961,-0.9676,0.8796
2020-06-03,0.9545,0.9654,0.982
2020-06-04,0.9735,0.9386,0.9803
2020-06-05,-0.9221,0.9947,0.9942
2020-06-06,0.5881,0.788,0.9452
2020-06-07,0.765,-0.1212,0.4266
2020-06-08,-0.1079,0.8635,0.935
2020-06-09,-0.9736,-0.9513,-0.9841
2020-06-10,-0.9367,0.9948,0.992
2020-06-11,0.5913,0.8989,0.9332
2020-06-12,0.9822,0.9946,0.9966
2020-06-13,-0.6249,-0.8555,-0.9022
2020-06-14,-0.7476,-0.949,-0.9697
2020-06-15,0.9549,0.9878,0.9924
2020-06-16,-0.9932,0.9968,0.9932
2020-06-17,-0.6293,0.8489,-0.9585
