Date,Title,Description,Corpus
2020-05-18,0.983,0.9877,0.994
2020-05-19,0.9042,0.9959,0.9987
2020-05-20,0.8479,0.9888,0.9913
2020-05-21,-0.2869,0.9955,0.9956
2020-05-22,-0.8282,-0.8402,-0.9495
2020-05-23,0.7635,-0.3337,0.425
2020-05-24,0.8767,0.168,0.8992
2020-05-25,0.1431,0.9344,0.9395
2020-05-26,0.95,-0.6586,0.9656
2020-05-27,-0.9772,-0.8229,-0.9674
2020-05-28,0.9493,0.9875,0.9923
2020-05-29,-0.636,0.9694,0.9824
2020-05-30,-0.5719,0.9199,0.8549
2020-05-31,-0.1909,0.659,0.6747
2020-06-01,0.958,0.9798,0.9929
2020-06-02,-0.811,0.9865,0.9815
2020-06-03,-0.6059,0.9843,0.9803
2020-06-04,0.8699,0.9408,0.9646
2020-06-05,0.957,0.9953,0.9973
2020-06-06,0.7964,0.7506,0.8735
2020-06-07,0.2023,-0.7351,-0.6597
2020-06-08,0.9626,-0.4235,0.8141
2020-06-09,0.936,0.9866,0.993
2020-06-10,0.9343,0.9761,0.9859
2020-06-11,0.9789,0.9979,0.9988
2020-06-12,0.9388,0.8936,0.9783
2020-06-13,0.34,0.7506,0.8316
2020-06-14,0.0,0.6486,0.6486
2020-06-15,0.9148,0.9403,0.9686
2020-06-16,0.9325,0.9224,0.965
2020-06-17,0.9565,-0.2023,0.9535
