Date,Title,Description,Corpus
2020-05-18,0.9973,0.9996,0.9997
2020-05-19,0.9856,0.9986,0.9991
2020-05-20,0.995,0.9987,0.9994
2020-05-21,0.9967,0.9985,0.9996
2020-05-22,0.9952,0.9788,0.9985
2020-05-23,0.9722,0.998,0.9986
2020-05-24,0.9749,0.9982,0.9988
2020-05-25,0.9876,0.9994,0.9997
2020-05-26,-0.8767,0.999,0.9991
2020-05-27,-0.945,0.9989,0.9988
2020-05-28,0.9969,0.9995,0.9996
2020-05-29,0.9951,0.9899,0.9984
2020-05-30,-0.9973,-0.9904,-0.9987
2020-05-31,0.9878,0.9996,0.9997
2020-06-01,0.8183,0.9967,0.9972
2020-06-02,0.9747,0.9973,0.9989
2020-06-03,-0.617,0.9988,0.9988
2020-06-04,0.988,0.9991,0.9993
2020-06-05,0.4774,0.9982,0.9986
2020-06-06,-0.8781,0.9915,0.9873
2020-06-07,0.9521,0.6959,0.9388
2020-06-08,0.9774,0.9984,0.9995
2020-06-09,-0.9873,0.9446,-0.4904
2020-06-10,-0.6928,0.9995,0.9996
2020-06-11,0.9971,0.9917,0.9991
2020-06-12,0.9435,0.9994,0.9996
2020-06-13,-0.655,0.9983,0.9982
2020-06-14,0.2598,0.9968,0.9982
2020-06-15,0.9979,0.9996,0.9998
2020-06-16,0.9826,0.9776,0.9894
2020-06-17,0.9914,0.9989,0.9995
