Date,Title,Description,Corpus
2020-05-18,0.954,0.9928,0.9954
2020-05-19,0.857,0.5127,0.9304
2020-05-20,0.9512,0.9962,0.9971
2020-05-21,0.366,0.9948,0.995
2020-05-22,-0.6761,0.9775,0.9875
2020-05-23,-0.9062,0.968,0.9413
2020-05-24,0.8839,0.9458,0.9694
2020-05-25,0.9524,0.9442,0.9822
2020-05-26,-0.8851,0.9785,0.9694
2020-05-27,0.9607,0.629,0.916
2020-05-28,-0.9815,0.9618,0.8567
2020-05-29,-0.9555,0.992,0.9939
2020-05-30,0.5104,0.8885,0.9152
2020-05-31,0.466,-0.5994,-0.5705
2020-06-01,0.98,0.9939,0.9974
2020-06-02,0.9351,0.9806,0.9882
2020-06-03,-0.8796,0.9683,0.9598
2020-06-04,0.9237,0.9597,0.9854
2020-06-05,-0.689,0.8558,0.8404
2020-06-06,0.9413,0.9785,0.9913
2020-06-07,-0.6322,0.3612,-0.3939
2020-06-08,0.9118,0.2471,0.7341
2020-06-09,0.296,0.9124,0.9305
2020-06-10,0.9897,0.9821,0.9948
2020-06-11,0.8793,-0.7469,0.5859
2020-06-12,0.9503,-0.7544,0.9334
2020-06-13,0.5423,0.2023,0.6486
2020-06-14,0.2942,0.8316,0.8748
2020-06-15,0.8748,0.2672,0.7711
2020-06-16,-0.5267,0.8526,0.8051
2020-06-17,0.9868,0.9958,0.9983
