Date,Title,Description,Corpus
2020-05-18,0.9221,-0.9552,-0.912
2020-05-19,0.7399,0.9993,0.9993
2020-05-20,0.9665,0.9981,0.9988
2020-05-21,0.831,0.9751,0.9823
2020-05-22,0.784,0.9928,0.9946
2020-05-23,-0.4559,-0.9241,-0.9411
2020-05-24,-0.8481,-0.8481,-0.9715
2020-05-25,-0.5994,0.823,0.6949
2020-05-26,-0.9863,0.9992,0.9986
2020-05-27,0.8176,-0.2516,0.7816
2020-05-28,-0.6486,-0.9834,-0.9875
2020-05-29,0.9878,0.8272,0.9785
2020-05-30,-0.896,-0.4601,-0.8366
2020-05-31,-0.8078,-0.7317,-0.8693
2020-06-01,0.9646,0.9962,0.9972
2020-06-02,0.9642,0.5317,0.9277
2020-06-03,0.8932,-0.7579,-0.2714
2020-06-04,0.9932,-0.9875,-0.9041
2020-06-05,0.9764,0.9951,0.9977
2020-06-06,0.8708,-0.9811,-0.9768
2020-06-07,0.9578,0.9524,0.9773
2020-06-08,0.6908,0.9847,0.9887
2020-06-09,0.9924,-0.9145,0.9805
2020-06-10,0.8882,0.9932,0.9955
2020-06-11,0.9468,0.9928,0.9948
2020-06-12,0.0258,0.9927,0.9954
2020-06-13,-0.3827,-0.5116,-0.7105
2020-06-14,0.8253,0.296,0.8131
2020-06-15,-0.6124,0.8016,0.6901
2020-06-16,0.9789,-0.1807,0.9392
2020-06-17,-0.8093,0.1576,-0.7729
