Date,Title,Description,Corpus
2020-05-18,0.9666,0.9974,0.9984
2020-05-19,0.9316,0.9859,0.9991
2020-05-20,0.9923,0.9993,0.9996
2020-05-21,0.9871,0.9989,0.9996
2020-05-22,-0.9961,-0.9878,-0.9978
2020-05-23,0.9917,0.9938,0.9983
2020-05-24,0.925,0.9989,0.9989
2020-05-25,0.9931,0.9968,0.9983
2020-05-26,0.9901,0.9925,0.9978
2020-05-27,0.9812,0.9991,0.9996
2020-05-28,0.4809,0.9955,0.9989
2020-05-29,0.9908,0.9994,0.9996
2020-05-30,0.9883,0.9976,0.999
2020-05-31,0.925,-0.9519,0.8502
2020-06-01,0.9872,0.9906,0.9967
2020-06-02,0.9947,0.9247,0.9965
2020-06-03,0.996,0.9986,0.9994
2020-06-04,-0.9843,-0.994,-0.998
2020-06-05,0.9912,0.9957,0.9981
2020-06-06,-0.9618,0.9981,0.9969
2020-06-07,0.9571,-0.8984,0.9597
2020-06-08,-0.9767,-0.9984,-0.9987
2020-06-09,-0.9932,0.9913,0.9634
2020-06-10,0.9975,0.9975,0.9995
2020-06-11,0.6014,0.9993,0.9993
2020-06-12,-0.8158,0.996,0.9976
2020-06-13,0.8083,0.9994,0.9994
2020-06-14,-0.9204,0.9969,0.9962
2020-06-15,0.7457,0.9555,0.9656
2020-06-16,-0.4842,0.9988,0.9989
2020-06-17,0.9293,0.9988,0.999
