Date,Title,Description,Corpus
2020-05-18,0.9893,0.9995,0.9997
2020-05-19,0.9984,0.9984,0.9997
2020-05-20,-0.958,0.9975,0.9972
2020-05-21,0.9982,0.9995,0.9998
2020-05-22,0.9936,0.9997,0.9998
2020-05-23,-0.8842,0.9946,0.9947
2020-05-24,0.9815,0.9612,0.9959
2020-05-25,-0.8504,0.9937,0.9928
2020-05-26,0.9943,0.9992,0.9996
2020-05-27,0.9979,0.9986,0.9993
2020-05-28,-0.5263,0.9988,0.9986
2020-05-29,0.9498,0.9994,0.9995
2020-05-30,0.9574,0.9934,0.9964
2020-05-31,0.9337,-0.6395,0.4269
2020-06-01,0.9949,0.9982,0.9989
2020-06-02,0.9797,0.9977,0.9993
2020-06-03,0.8473,0.998,0.9986
2020-06-04,0.9953,0.9991,0.9994
2020-06-05,0.9986,0.9998,0.9999
2020-06-06,0.9042,-0.4039,0.7383
2020-06-07,0.9613,0.9966,0.9983
2020-06-08,0.9472,0.9993,0.9994
2020-06-09,0.7779,0.9927,0.99
2020-06-10,0.9959,0.9983,0.9994
2020-06-11,0.9988,0.9997,0.9998
2020-06-12,0.9968,0.9992,0.9997
2020-06-13,0.7845,0.8655,0.9485
2020-06-14,0.3736,0.6064,0.7264
2020-06-15,-0.8973,0.9945,0.9935
2020-06-16,0.878,0.9957,0.9965
2020-06-17,0.9968,0.9991,0.9996
