Date,Title,Description,Corpus
2020-05-18,0.9679,0.9996,0.9996
2020-05-19,0.5883,0.9979,0.998
2020-05-20,0.9908,0.9992,0.9997
2020-05-21,0.9822,0.9985,0.9989
2020-05-22,0.9835,0.9982,0.9987
2020-05-23,0.9645,0.9901,0.9947
2020-05-24,0.9571,0.9829,0.9925
2020-05-25,0.8373,0.9993,0.9994
2020-05-26,0.6978,0.9848,0.9905
2020-05-27,0.9895,0.9936,0.998
2020-05-28,0.9926,0.9979,0.9987
2020-05-29,-0.829,0.9923,0.9975
2020-05-30,0.2802,0.9891,0.9891
2020-05-31,0.861,0.9893,0.9963
2020-06-01,0.9936,0.9995,0.9997
2020-06-02,0.9989,0.9996,0.9998
2020-06-03,0.8656,0.9991,0.9994
2020-06-04,0.9979,0.9989,0.9997
2020-06-05,0.9805,0.9993,0.9994
2020-06-06,0.8583,0.9984,0.9987
2020-06-07,-0.8647,-0.995,-0.9961
2020-06-08,0.9896,0.9987,0.9995
2020-06-09,0.9962,0.9984,0.9994
2020-06-10,0.9792,0.9997,0.9998
2020-06-11,0.9871,-0.8025,0.9095
2020-06-12,0.9937,0.9995,0.9997
2020-06-13,-0.8875,0.9518,0.9951
2020-06-14,0.4555,0.9891,0.9886
2020-06-15,0.9117,0.9991,0.9993
2020-06-16,0.9989,0.9979,0.9998
2020-06-17,0.9892,0.9977,0.9995
