Date,Title,Description,Corpus
2020-05-18,0.9852,0.9904,0.9975
2020-05-19,0.9796,0.9822,0.9916
2020-05-20,0.9959,0.9982,0.999
2020-05-21,0.9769,0.9876,0.9933
2020-05-22,0.9796,0.9974,0.9981
2020-05-23,-0.9674,-0.8602,-0.9635
2020-05-24,0.988,-0.4859,0.9857
2020-05-25,0.2732,0.9161,0.9368
2020-05-26,0.9942,0.9961,0.998
2020-05-27,0.9755,0.9858,0.9954
2020-05-28,0.4556,0.9899,0.9911
2020-05-29,0.9296,0.996,0.9979
2020-05-30,0.3094,0.9451,0.9561
2020-05-31,0.9559,0.9753,0.9916
2020-06-01,0.9601,0.9642,0.9833
2020-06-02,0.9929,0.9875,0.9955
2020-06-03,0.8934,-0.8505,-0.5287
2020-06-04,-0.5632,0.9921,0.9923
2020-06-05,0.9423,0.9945,0.9958
2020-06-06,0.7213,0.8899,0.9499
2020-06-07,0.8271,0.9833,0.9896
2020-06-08,0.8037,0.9911,0.9919
2020-06-09,-0.9447,0.8037,-0.1795
2020-06-10,0.7521,0.9968,0.9982
2020-06-11,0.991,0.9946,0.9983
2020-06-12,0.8353,0.9947,0.996
2020-06-13,0.1265,-0.4939,-0.7184
2020-06-14,0.2846,0.9785,0.9843
2020-06-15,-0.5632,0.9886,0.9876
2020-06-16,0.9517,0.9961,0.997
2020-06-17,0.1307,0.9971,0.9977
