Date,Title,Description,Corpus
2020-05-18,0.9388,0.9908,0.9936
2020-05-19,0.9682,0.9051,0.971
2020-05-20,0.9844,0.994,0.9965
2020-05-21,-0.1926,0.8903,0.8995
2020-05-22,0.9428,0.9859,0.9963
2020-05-23,0.0,0.4019,0.4019
2020-05-24,0.7222,0.2023,0.781
2020-05-25,0.9783,0.9584,0.9924
2020-05-26,0.9752,0.9938,0.996
2020-05-27,0.9914,0.9859,0.9947
2020-05-28,0.9943,0.9967,0.9989
2020-05-29,0.9136,0.9186,0.9769
2020-05-30,0.2732,-0.1027,0.1779
2020-05-31,0.8343,0.9477,0.9666
2020-06-01,0.9588,0.985,0.9911
2020-06-02,0.9709,0.9901,0.996
2020-06-03,0.9667,0.9719,0.9867
2020-06-04,0.7828,0.7819,0.9291
2020-06-05,0.1088,0.8053,0.8162
2020-06-06,0.8225,0.8092,0.9426
2020-06-07,0.6705,-0.7269,-0.1531
2020-06-08,-0.0516,0.5267,0.5514
2020-06-09,0.8481,0.9045,0.9461
2020-06-10,0.9632,0.996,0.997
2020-06-11,0.2023,0.9588,0.9621
2020-06-12,0.9596,0.9923,0.9948
2020-06-13,0.0,0.91,0.91
2020-06-14,0.4767,0.7506,0.8591
2020-06-15,0.6808,0.9231,0.9442
2020-06-16,0.9403,0.9874,0.9939
2020-06-17,0.9803,0.965,0.9926
