Gov. Northam to address Virginia as COVID-19 trends decline,"Governor Ralph Northam is set to address the commonwealth on Tuesday for his latest briefing amid both the COVID-19 pandemic and continuing civil unrest over the murders of George Floyd, Breonna Taylor, Ahmaud Arbery and other black Americans.",2020-06-16T17:48:20Z
Ashtead Group plc (ASHTF) CEO Brendan Horgan on Q4 2020 Results - Earnings Call Transcript,"Ashtead Group plc (OTCPK:ASHTF) Q4 2020 Earnings Conference Call June 16, 2020 6:00 A.M. ET Company Participants Brendan Horgan - Chief Executive Officer Michae",2020-06-16T17:45:44Z
PolyOne Corporation (POL) CEO Bob Patterson on Second Quarter Performance Update (Transcript),"PolyOne Corporation (NYSE:POL) PolyOne to Provide Second Quarter Performance Update Conference Call June 16, 2020 08:00 AM ET Company Participants Joe Di Salvo",2020-06-16T17:38:07Z
PolyOne Corporation (POL) CEO Bob Patterson on Second Quarter Performance Update (Transcript),"PolyOne Corporation (NYSE:POL) PolyOne to Provide Second Quarter Performance Update Conference Call June 16, 2020 08:00 AM ET Company Participants Joe Di Salvo",2020-06-16T17:38:07Z
"Why Carnival Corporation, Norwegian Cruise, and Royal Caribbean Stocks All Popped Today",$1 trillion goes a long way to stoke optimism in a troubled sector.,2020-06-16T16:36:00Z
Washington D.C.’s 25 Most Powerful People Real Estate Players in 2019,Painting the words “Black Lives Matter” on 16th Street in front of Lafayette Square could be described as the ultimate power move. Mayor Muriel Bowser has power. And she wields it. We’ve said before that the word “power” means something different in Washingto…,2020-06-16T13:00:51Z
BigSpring Awarded as Technology Pioneer by World Economic Forum,"SINGAPORE & NEW YORK--(BUSINESS WIRE)--BigSpring, a mobile learning platform that offers lifelong skilling with measurable ROI, today was named a 2020 World Economic Forum Tech Pioneer.",2020-06-16T07:51:47Z
BigSpring Awarded as Technology Pioneer by World Economic Forum - Odessa American,BigSpring Awarded as Technology Pioneer by World Economic Forum  Odessa American,2020-06-16T07:41:00Z
"Shiloh Industries, Inc. Amends Agreement with Bank Lenders to Provide Additional Financial Flexibility as It Resumes Production Across Its Global Operations","VALLEY CITY, OHIO--(BUSINESS WIRE)--Shiloh Industries, Inc. (NASDAQ: SHLO) (the “Company”) an environmentally focused global supplier of lightweighting, noise and vibration solutions, announced today that the Company and certain of its subsidiaries have reach…",2020-06-15T20:40:23Z
Growing Down-Trading Will Continue To Fuel Growth For The Discount Retail Industry,"Growing down-trading and focus on necessities will continue to drive WMT, TGT and DG. The private labels are well-positioned for growth compared to luxury retai",2020-06-15T18:45:39Z
India Retail Reopens Even as COVID-19 Cases Climb,"Even as the number of COVID-19 cases leaps, India's malls opened for business last week, joining stand-alone stores, markets and e-commerce players that had opened previously.",2020-06-15T16:56:15Z
Top-Ranked Beaten Down ETFs to Buy Now,"Given the sharp decline in the stock market last week, investors should take advantage of the beaten-down prices.",2020-06-15T15:10:03Z
"GDP contraction poses #39;existential threat#39; to MSMEs, policy measures offer little succour: Report","However, policy interventions by the Reserve Bank of India (RBI) and the finance ministry offer little hope because they cannot revive demand, which is crucial for the small businesses, the report said.",2020-06-15T10:29:05Z
Crude Oil Prices Sink with Stocks Amid Global Recession Fears,Crude oil prices fell alongside stocks and other cyclical assets at the start of the trading week in what appeared like the return of global recession fears.,2020-06-15T05:00:00Z
