Expected restart of pogos lifts optimism in office property sector,"The Philippines saw brisk demand for office property despite the imposition of strict lockdown measures amid the coronavirus (COVID-19) pandemic, defying the sluggish market seen elsewhere in the world. This is according to property market veteran David Leech…",2020-06-16T20:05:41Z
Israel’s Annexation Puzzle in the Age of Great Power Competition,"Editor's Note: This piece originally appeared on Order from Chaos.
Jerusalem’s plan to apply Israeli sovereignty over parts of the West Bank next month poses a unique challenge to geopolitical alliances. As Washington adopts a more assertive China strategy, a…",2020-06-16T19:25:26Z
Israel’s Annexation in the Age of Great Power Competition,"Editor's Note: This piece originally appeared on Order from Chaos.
Jerusalem’s plan to apply Israeli sovereignty over parts of the West Bank next month poses a unique challenge to geopolitical alliances. As Washington adopts a more assertive China strategy, a…",2020-06-16T19:25:26Z
"Exclusive: HDFC to join India Inc fundraising club, plans to raise around Rs 12,000 crore","The QIP component is slated to be around Rs 7,000 crore and the convertible component around Rs 5,000 crore",2020-06-16T17:41:48Z
These are the 16 international destinations now welcoming American tourists,"Americans are finding something very new when they go to plan international travel. The welcome mat has been rolled up! Most countries are not allowing U.S. visitors right now because of coronavirus. The United States has had more than 117,000 deaths, and rem…",2020-06-16T17:30:33Z
"Why Seritage, Macerich, and Tanger Stocks Jumped at the Open on June 16","There was good news in the retail space this morning, which got investors upbeat about these three different ways to play the niche.",2020-06-16T17:04:00Z
Chimera Cuts Its Dividend and Raises Capital. Is the Worst Over?,A dividend cut and a new credit facility give this mortgage REIT a new lease on life.,2020-06-16T17:03:36Z
EverWest Snags Fully Leased Industrial Building in the Inland Empire,"EverWest Real Estate Investors has acquired a fully leased industrial facility in California’s Inland Empire in a $37 million deal, the firm announced. The off-market acquisition includes a seven-year leaseback with Amrapur Overseas, Inc. for the 210,350-squa…",2020-06-16T16:50:01Z
Led By Donald Trump Books and Race Issues: Summertime US Nonfiction Heats Up,"As a trio of books on Donald Trump from Simon & Schuster punctuate the summer lists, titles on racism fill out a soaring sector ahead of the November 3 presidential election.
The post Led By Donald Trump Books and Race Issues: Summertime US Nonfiction Heats U…",2020-06-16T16:45:41Z
Tech Giants Will Lead The Covid Recovery In New York Real Estate,"Google, Amazon, Facebook, Apple and Microsoft have been on a leasing and purchasing binge in the city to the tune of 3 million square feet per year for past three years.",2020-06-16T15:30:00Z
Buy Medical Properties Trust for Its Safe Yield,Medical Properties offers a high yield and sports a low payout ratio. Continue reading...,2020-06-16T15:27:36Z
Central Bank warns on Covid-19 risks to property market,"Irish property funds have higher levels of debt than 90 per cent of similar European operations, regulator says",2020-06-16T15:09:46Z
85 Percent of Independent Restaurants Could Close Without Direct Aid,"Dan Wu, an immigrant chef and owner of Atomic Ramen in Lexington, Kentucky, operated his restaurant for two and a half years before COVID hit. The locations closure turned from temporary to indefinite as the government instituted stay-at-home orders and dini…",2020-06-16T15:01:53Z
85 Percent of Independent US Restaurants May Close by Year’s End – Report,Coronavirus lockdowns destroying American small businesses,2020-06-16T14:47:02Z
Industry Spotlight: Q&A With Hodges Ward Elliott’s Brett Katz,"Hodges Ward Elliott (“HWE”) is the premier boutique real estate capital markets advisor, delivering results for over 45 years. HWE’s multi-disciplined platform includes commercial, hotel and debt capital markets teams, with offices across the U.S. and London.…",2020-06-16T13:26:15Z
