Date,Title,Description,Corpus
5/18/2020,-0.9914,0.9977,0.9976
5/19/2020,-0.9397,0.9979,0.9979
5/20/2020,0.467,0.9992,0.9992
5/21/2020,0.9209,0.9992,0.975
5/22/2020,0.9627,0.9981,0.9985
5/23/2020,0.3736,-0.9906,-0.9912
5/24/2020,-0.9519,0.975,0.8843
5/25/2020,0.987,0.9959,0.999
5/26/2020,-0.4863,0.9971,0.9987
5/27/2020,0.971,0.9996,0.9998
5/28/2020,0.999,0.6661,0.9992
5/29/2020,-0.7333,0.9984,0.9982
5/30/2020,0.8437,-0.9228,-0.8493
5/31/2020,0.8738,0.85,0.9865
6/1/2020,-0.9893,0.9986,0.9981
6/2/2020,0.9778,0.9966,0.9983
6/3/2020,0.9971,0.9988,0.9996
6/4/2020,0.9988,0.9992,0.9996
6/5/2020,0.9869,0.9972,0.9988
6/6/2020,0.9537,0.9969,0.9989
6/7/2020,-0.9002,-0.9895,-0.9956
6/8/2020,0.9468,0.9965,0.9988
6/9/2020,0.9926,0.9986,0.9995
6/10/2020,0.9919,0.9996,0.9997
6/11/2020,0.9972,0.9971,0.9987
6/12/2020,0.4898,0.9987,0.9986
6/13/2020,-0.8406,-0.9808,-0.9848
6/14/2020,-0.4019,0.9855,0.9843
6/15/2020,0.9966,0.9962,0.9996
6/16/2020,0.7574,0.9958,0.9963
6/17/2020,-0.5206,-0.5808,-0.7081
,0.346132258,0.676290323,0.686248387
