Date,Title,Description,Corpus
5/18/2020,-0.9374,0.9937,0.9891
5/19/2020,0.8241,-0.8766,-0.929
5/20/2020,-0.9736,0.9701,0.9243
5/21/2020,-0.996,-0.9636,-0.9941
5/22/2020,0.9608,0.9756,0.9981
5/23/2020,-0.4861,-0.7812,-0.6998
5/24/2020,0.1301,-0.9947,-0.993
5/25/2020,-0.6876,-0.9535,-0.7967
5/26/2020,0.9928,0.987,0.9985
5/27/2020,0.826,-0.9513,-0.9702
5/28/2020,0.9584,-0.6864,0.876
5/29/2020,0.9498,0.3866,0.895
5/30/2020,-0.6249,0.0197,-0.3556
5/31/2020,0.5719,-0.9636,-0.9457
6/1/2020,0.9641,0.983,0.9905
6/2/2020,0.9961,-0.9676,0.8796
6/3/2020,0.9545,0.9654,0.982
6/4/2020,0.9735,0.9386,0.9803
6/5/2020,-0.9221,0.9947,0.9942
6/6/2020,0.5881,0.788,0.9452
6/7/2020,0.765,-0.1212,0.4266
6/8/2020,-0.1079,0.8635,0.935
6/9/2020,-0.9736,-0.9513,-0.9841
6/10/2020,-0.9367,0.9948,0.992
6/11/2020,0.5913,0.8989,0.9332
6/12/2020,0.9822,0.9946,0.9966
6/13/2020,-0.6249,-0.8555,-0.9022
6/14/2020,-0.7476,-0.949,-0.9697
6/15/2020,0.9549,0.9878,0.9924
6/16/2020,-0.9932,0.9968,0.9932
6/17/2020,-0.6293,0.8489,-0.9585
,0.107829032,0.147490323,0.233006452
