Date,Title,Description,Corpus
5/18/2020,0.983,0.9877,0.994
5/19/2020,0.9042,0.9959,0.9987
5/20/2020,0.8479,0.9888,0.9913
5/21/2020,-0.2869,0.9955,0.9956
5/22/2020,-0.8282,-0.8402,-0.9495
5/23/2020,0.7635,-0.3337,0.425
5/24/2020,0.8767,0.168,0.8992
5/25/2020,0.1431,0.9344,0.9395
5/26/2020,0.95,-0.6586,0.9656
5/27/2020,-0.9772,-0.8229,-0.9674
5/28/2020,0.9493,0.9875,0.9923
5/29/2020,-0.636,0.9694,0.9824
5/30/2020,-0.5719,0.9199,0.8549
5/31/2020,-0.1909,0.659,0.6747
6/1/2020,0.958,0.9798,0.9929
6/2/2020,-0.811,0.9865,0.9815
6/3/2020,-0.6059,0.9843,0.9803
6/4/2020,0.8699,0.9408,0.9646
6/5/2020,0.957,0.9953,0.9973
6/6/2020,0.7964,0.7506,0.8735
6/7/2020,0.2023,-0.7351,-0.6597
6/8/2020,0.9626,-0.4235,0.8141
6/9/2020,0.936,0.9866,0.993
6/10/2020,0.9343,0.9761,0.9859
6/11/2020,0.9789,0.9979,0.9988
6/12/2020,0.9388,0.8936,0.9783
6/13/2020,0.34,0.7506,0.8316
6/14/2020,0,0.6486,0.6486
6/15/2020,0.9148,0.9403,0.9686
6/16/2020,0.9325,0.9224,0.965
6/17/2020,0.9565,-0.2023,0.9535
,0.425409677,0.559458065,0.744003226
