Date,Title,Description,Corpus
5/18/2020,0.9973,0.9996,0.9997
5/19/2020,0.9856,0.9986,0.9991
5/20/2020,0.995,0.9987,0.9994
5/21/2020,0.9967,0.9985,0.9996
5/22/2020,0.9952,0.9788,0.9985
5/23/2020,0.9722,0.998,0.9986
5/24/2020,0.9749,0.9982,0.9988
5/25/2020,0.9876,0.9994,0.9997
5/26/2020,-0.8767,0.999,0.9991
5/27/2020,-0.945,0.9989,0.9988
5/28/2020,0.9969,0.9995,0.9996
5/29/2020,0.9951,0.9899,0.9984
5/30/2020,-0.9973,-0.9904,-0.9987
5/31/2020,0.9878,0.9996,0.9997
6/1/2020,0.8183,0.9967,0.9972
6/2/2020,0.9747,0.9973,0.9989
6/3/2020,-0.617,0.9988,0.9988
6/4/2020,0.988,0.9991,0.9993
6/5/2020,0.4774,0.9982,0.9986
6/6/2020,-0.8781,0.9915,0.9873
6/7/2020,0.9521,0.6959,0.9388
6/8/2020,0.9774,0.9984,0.9995
6/9/2020,-0.9873,0.9446,-0.4904
6/10/2020,-0.6928,0.9995,0.9996
6/11/2020,0.9971,0.9917,0.9991
6/12/2020,0.9435,0.9994,0.9996
6/13/2020,-0.655,0.9983,0.9982
6/14/2020,0.2598,0.9968,0.9982
6/15/2020,0.9979,0.9996,0.9998
6/16/2020,0.9826,0.9776,0.9894
6/17/2020,0.9914,0.9989,0.9995
,0.470816129,0.920922581,0.883925806
