Date,Title,Description,Corpus
5/18/2020,0.954,0.9928,0.9954
5/19/2020,0.857,0.5127,0.9304
5/20/2020,0.9512,0.9962,0.9971
5/21/2020,0.366,0.9948,0.995
5/22/2020,-0.6761,0.9775,0.9875
5/23/2020,-0.9062,0.968,0.9413
5/24/2020,0.8839,0.9458,0.9694
5/25/2020,0.9524,0.9442,0.9822
5/26/2020,-0.8851,0.9785,0.9694
5/27/2020,0.9607,0.629,0.916
5/28/2020,-0.9815,0.9618,0.8567
5/29/2020,-0.9555,0.992,0.9939
5/30/2020,0.5104,0.8885,0.9152
5/31/2020,0.466,-0.5994,-0.5705
6/1/2020,0.98,0.9939,0.9974
6/2/2020,0.9351,0.9806,0.9882
6/3/2020,-0.8796,0.9683,0.9598
6/4/2020,0.9237,0.9597,0.9854
6/5/2020,-0.689,0.8558,0.8404
6/6/2020,0.9413,0.9785,0.9913
6/7/2020,-0.6322,0.3612,-0.3939
6/8/2020,0.9118,0.2471,0.7341
6/9/2020,0.296,0.9124,0.9305
6/10/2020,0.9897,0.9821,0.9948
6/11/2020,0.8793,-0.7469,0.5859
6/12/2020,0.9503,-0.7544,0.9334
6/13/2020,0.5423,0.2023,0.6486
6/14/2020,0.2942,0.8316,0.8748
6/15/2020,0.8748,0.2672,0.7711
6/16/2020,-0.5267,0.8526,0.8051
6/17/2020,0.9868,0.9958,0.9983
,0.331451613,0.679683871,0.82336129
