Date,Title,Description,Corpus
5/18/2020,0.9221,-0.9552,-0.912
5/19/2020,0.7399,0.9993,0.9993
5/20/2020,0.9665,0.9981,0.9988
5/21/2020,0.831,0.9751,0.9823
5/22/2020,0.784,0.9928,0.9946
5/23/2020,-0.4559,-0.9241,-0.9411
5/24/2020,-0.8481,-0.8481,-0.9715
5/25/2020,-0.5994,0.823,0.6949
5/26/2020,-0.9863,0.9992,0.9986
5/27/2020,0.8176,-0.2516,0.7816
5/28/2020,-0.6486,-0.9834,-0.9875
5/29/2020,0.9878,0.8272,0.9785
5/30/2020,-0.896,-0.4601,-0.8366
5/31/2020,-0.8078,-0.7317,-0.8693
6/1/2020,0.9646,0.9962,0.9972
6/2/2020,0.9642,0.5317,0.9277
6/3/2020,0.8932,-0.7579,-0.2714
6/4/2020,0.9932,-0.9875,-0.9041
6/5/2020,0.9764,0.9951,0.9977
6/6/2020,0.8708,-0.9811,-0.9768
6/7/2020,0.9578,0.9524,0.9773
6/8/2020,0.6908,0.9847,0.9887
6/9/2020,0.9924,-0.9145,0.9805
6/10/2020,0.8882,0.9932,0.9955
6/11/2020,0.9468,0.9928,0.9948
6/12/2020,0.0258,0.9927,0.9954
6/13/2020,-0.3827,-0.5116,-0.7105
6/14/2020,0.8253,0.296,0.8131
6/15/2020,-0.6124,0.8016,0.6901
6/16/2020,0.9789,-0.1807,0.9392
6/17/2020,-0.8093,0.1576,-0.7729
,0.353896774,0.187780645,0.308777419
