Date,Title,Description,Corpus
5/18/2020,0.9666,0.9974,0.9984
5/19/2020,0.9316,0.9859,0.9991
5/20/2020,0.9923,0.9993,0.9996
5/21/2020,0.9871,0.9989,0.9996
5/22/2020,-0.9961,-0.9878,-0.9978
5/23/2020,0.9917,0.9938,0.9983
5/24/2020,0.925,0.9989,0.9989
5/25/2020,0.9931,0.9968,0.9983
5/26/2020,0.9901,0.9925,0.9978
5/27/2020,0.9812,0.9991,0.9996
5/28/2020,0.4809,0.9955,0.9989
5/29/2020,0.9908,0.9994,0.9996
5/30/2020,0.9883,0.9976,0.999
5/31/2020,0.925,-0.9519,0.8502
6/1/2020,0.9872,0.9906,0.9967
6/2/2020,0.9947,0.9247,0.9965
6/3/2020,0.996,0.9986,0.9994
6/4/2020,-0.9843,-0.994,-0.998
6/5/2020,0.9912,0.9957,0.9981
6/6/2020,-0.9618,0.9981,0.9969
6/7/2020,0.9571,-0.8984,0.9597
6/8/2020,-0.9767,-0.9984,-0.9987
6/9/2020,-0.9932,0.9913,0.9634
6/10/2020,0.9975,0.9975,0.9995
6/11/2020,0.6014,0.9993,0.9993
6/12/2020,-0.8158,0.996,0.9976
6/13/2020,0.8083,0.9994,0.9994
6/14/2020,-0.9204,0.9969,0.9962
6/15/2020,0.7457,0.9555,0.9656
6/16/2020,-0.4842,0.9988,0.9989
6/17/2020,0.9293,0.9988,0.999
,0.452245161,0.676316129,0.797064516
