Date,Title,Description,Corpus
5/18/2020,0.9893,0.9995,0.9997
5/19/2020,0.9984,0.9984,0.9997
5/20/2020,-0.958,0.9975,0.9972
5/21/2020,0.9982,0.9995,0.9998
5/22/2020,0.9936,0.9997,0.9998
5/23/2020,-0.8842,0.9946,0.9947
5/24/2020,0.9815,0.9612,0.9959
5/25/2020,-0.8504,0.9937,0.9928
5/26/2020,0.9943,0.9992,0.9996
5/27/2020,0.9979,0.9986,0.9993
5/28/2020,-0.5263,0.9988,0.9986
5/29/2020,0.9498,0.9994,0.9995
5/30/2020,0.9574,0.9934,0.9964
5/31/2020,0.9337,-0.6395,0.4269
6/1/2020,0.9949,0.9982,0.9989
6/2/2020,0.9797,0.9977,0.9993
6/3/2020,0.8473,0.998,0.9986
6/4/2020,0.9953,0.9991,0.9994
6/5/2020,0.9986,0.9998,0.9999
6/6/2020,0.9042,-0.4039,0.7383
6/7/2020,0.9613,0.9966,0.9983
6/8/2020,0.9472,0.9993,0.9994
6/9/2020,0.7779,0.9927,0.99
6/10/2020,0.9959,0.9983,0.9994
6/11/2020,0.9988,0.9997,0.9998
6/12/2020,0.9968,0.9992,0.9997
6/13/2020,0.7845,0.8655,0.9485
6/14/2020,0.3736,0.6064,0.7264
6/15/2020,-0.8973,0.9945,0.9935
6/16/2020,0.878,0.9957,0.9965
6/17/2020,0.9968,0.9991,0.9996
,0.648667742,0.881609677,0.960819355
