Date,Title,Description,Corpus
5/18/2020,0.9679,0.9996,0.9996
5/19/2020,0.5883,0.9979,0.998
5/20/2020,0.9908,0.9992,0.9997
5/21/2020,0.9822,0.9985,0.9989
5/22/2020,0.9835,0.9982,0.9987
5/23/2020,0.9645,0.9901,0.9947
5/24/2020,0.9571,0.9829,0.9925
5/25/2020,0.8373,0.9993,0.9994
5/26/2020,0.6978,0.9848,0.9905
5/27/2020,0.9895,0.9936,0.998
5/28/2020,0.9926,0.9979,0.9987
5/29/2020,-0.829,0.9923,0.9975
5/30/2020,0.2802,0.9891,0.9891
5/31/2020,0.861,0.9893,0.9963
6/1/2020,0.9936,0.9995,0.9997
6/2/2020,0.9989,0.9996,0.9998
6/3/2020,0.8656,0.9991,0.9994
6/4/2020,0.9979,0.9989,0.9997
6/5/2020,0.9805,0.9993,0.9994
6/6/2020,0.8583,0.9984,0.9987
6/7/2020,-0.8647,-0.995,-0.9961
6/8/2020,0.9896,0.9987,0.9995
6/9/2020,0.9962,0.9984,0.9994
6/10/2020,0.9792,0.9997,0.9998
6/11/2020,0.9871,-0.8025,0.9095
6/12/2020,0.9937,0.9995,0.9997
6/13/2020,-0.8875,0.9518,0.9951
6/14/2020,0.4555,0.9891,0.9886
6/15/2020,0.9117,0.9991,0.9993
6/16/2020,0.9989,0.9979,0.9998
6/17/2020,0.9892,0.9977,0.9995
,0.726045161,0.872319355,0.9304
