Date,Title,Description,Corpus
5/18/2020,0.9852,0.9904,0.9975
5/19/2020,0.9796,0.9822,0.9916
5/20/2020,0.9959,0.9982,0.999
5/21/2020,0.9769,0.9876,0.9933
5/22/2020,0.9796,0.9974,0.9981
5/23/2020,-0.9674,-0.8602,-0.9635
5/24/2020,0.988,-0.4859,0.9857
5/25/2020,0.2732,0.9161,0.9368
5/26/2020,0.9942,0.9961,0.998
5/27/2020,0.9755,0.9858,0.9954
5/28/2020,0.4556,0.9899,0.9911
5/29/2020,0.9296,0.996,0.9979
5/30/2020,0.3094,0.9451,0.9561
5/31/2020,0.9559,0.9753,0.9916
6/1/2020,0.9601,0.9642,0.9833
6/2/2020,0.9929,0.9875,0.9955
6/3/2020,0.8934,-0.8505,-0.5287
6/4/2020,-0.5632,0.9921,0.9923
6/5/2020,0.9423,0.9945,0.9958
6/6/2020,0.7213,0.8899,0.9499
6/7/2020,0.8271,0.9833,0.9896
6/8/2020,0.8037,0.9911,0.9919
6/9/2020,-0.9447,0.8037,-0.1795
6/10/2020,0.7521,0.9968,0.9982
6/11/2020,0.991,0.9946,0.9983
6/12/2020,0.8353,0.9947,0.996
6/13/2020,0.1265,-0.4939,-0.7184
6/14/2020,0.2846,0.9785,0.9843
6/15/2020,-0.5632,0.9886,0.9876
6/16/2020,0.9517,0.9961,0.997
6/17/2020,0.1307,0.9971,0.9977
,0.579767742,0.762009677,0.783851613
