Date,Title,Description,Corpus
5/18/2020,0.9388,0.9908,0.9936
5/19/2020,0.9682,0.9051,0.971
5/20/2020,0.9844,0.994,0.9965
5/21/2020,-0.1926,0.8903,0.8995
5/22/2020,0.9428,0.9859,0.9963
5/23/2020,0,0.4019,0.4019
5/24/2020,0.7222,0.2023,0.781
5/25/2020,0.9783,0.9584,0.9924
5/26/2020,0.9752,0.9938,0.996
5/27/2020,0.9914,0.9859,0.9947
5/28/2020,0.9943,0.9967,0.9989
5/29/2020,0.9136,0.9186,0.9769
5/30/2020,0.2732,-0.1027,0.1779
5/31/2020,0.8343,0.9477,0.9666
6/1/2020,0.9588,0.985,0.9911
6/2/2020,0.9709,0.9901,0.996
6/3/2020,0.9667,0.9719,0.9867
6/4/2020,0.7828,0.7819,0.9291
6/5/2020,0.1088,0.8053,0.8162
6/6/2020,0.8225,0.8092,0.9426
6/7/2020,0.6705,-0.7269,-0.1531
6/8/2020,-0.0516,0.5267,0.5514
6/9/2020,0.8481,0.9045,0.9461
6/10/2020,0.9632,0.996,0.997
6/11/2020,0.2023,0.9588,0.9621
6/12/2020,0.9596,0.9923,0.9948
6/13/2020,0,0.91,0.91
6/14/2020,0.4767,0.7506,0.8591
6/15/2020,0.6808,0.9231,0.9442
6/16/2020,0.9403,0.9874,0.9939
6/17/2020,0.9803,0.965,0.9926
,0.696929032,0.793535484,0.864612903
